(n = 1, r = 2, j = 1, k = 1): 2 possible binary strings.
(n = 4, r = 2, j = 10, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 10, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 10, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 11, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 11, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 11, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 11, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 11, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 12, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 12, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 12, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 12, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 12, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 13, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 13, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 13, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 13, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 13, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 14, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 14, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 14, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 14, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 14, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 15, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 15, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 15, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 15, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 15, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 16, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 16, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 16, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 16, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 16, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 17, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 17, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 17, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 17, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 17, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 18, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 18, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 18, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 18, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 18, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 19, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 19, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 19, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 19, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 19, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 20, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 20, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 20, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 20, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 20, k = 5): 0 possible binary strings.
(n = 4, r = 2, j = 21, k = 1): 0 possible binary strings.
(n = 4, r = 2, j = 21, k = 2): 0 possible binary strings.
(n = 4, r = 2, j = 21, k = 3): 0 possible binary strings.
(n = 4, r = 2, j = 21, k = 4): 0 possible binary strings.
(n = 4, r = 2, j = 21, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 1, k = 1): 9 possible binary strings.
(n = 4, r = 3, j = 1, k = 2): 9 possible binary strings.
(n = 4, r = 3, j = 1, k = 3): 9 possible binary strings.
(n = 4, r = 3, j = 1, k = 4): 9 possible binary strings.
(n = 4, r = 3, j = 1, k = 5): 9 possible binary strings.
(n = 4, r = 3, j = 2, k = 1): 36 possible binary strings.
(n = 4, r = 3, j = 2, k = 2): 36 possible binary strings.
(n = 4, r = 3, j = 2, k = 3): 36 possible binary strings.
(n = 4, r = 3, j = 2, k = 4): 36 possible binary strings.
(n = 4, r = 3, j = 2, k = 5): 36 possible binary strings.
(n = 4, r = 3, j = 3, k = 1): 80 possible binary strings.
(n = 4, r = 3, j = 3, k = 2): 84 possible binary strings.
(n = 4, r = 3, j = 3, k = 3): 84 possible binary strings.
(n = 4, r = 3, j = 3, k = 4): 84 possible binary strings.
(n = 4, r = 3, j = 3, k = 5): 84 possible binary strings.
(n = 4, r = 3, j = 4, k = 1): 102 possible binary strings.
(n = 4, r = 3, j = 4, k = 2): 126 possible binary strings.
(n = 4, r = 3, j = 4, k = 3): 126 possible binary strings.
(n = 4, r = 3, j = 4, k = 4): 126 possible binary strings.
(n = 4, r = 3, j = 4, k = 5): 126 possible binary strings.
(n = 4, r = 3, j = 5, k = 1): 69 possible binary strings.
(n = 4, r = 3, j = 5, k = 2): 123 possible binary strings.
(n = 4, r = 3, j = 5, k = 3): 126 possible binary strings.
(n = 4, r = 3, j = 5, k = 4): 126 possible binary strings.
(n = 4, r = 3, j = 5, k = 5): 126 possible binary strings.
(n = 4, r = 3, j = 6, k = 1): 19 possible binary strings.
(n = 4, r = 3, j = 6, k = 2): 72 possible binary strings.
(n = 4, r = 3, j = 6, k = 3): 84 possible binary strings.
(n = 4, r = 3, j = 6, k = 4): 84 possible binary strings.
(n = 4, r = 3, j = 6, k = 5): 84 possible binary strings.
(n = 4, r = 3, j = 7, k = 1): 1 possible binary strings.
(n = 4, r = 3, j = 7, k = 2): 20 possible binary strings.
(n = 4, r = 3, j = 7, k = 3): 34 possible binary strings.
(n = 4, r = 3, j = 7, k = 4): 36 possible binary strings.
(n = 4, r = 3, j = 7, k = 5): 36 possible binary strings.
(n = 4, r = 3, j = 8, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 8, k = 2): 1 possible binary strings.
(n = 4, r = 3, j = 8, k = 3): 5 possible binary strings.
(n = 4, r = 3, j = 8, k = 4): 9 possible binary strings.
(n = 4, r = 3, j = 8, k = 5): 9 possible binary strings.
(n = 4, r = 3, j = 9, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 9, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 9, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 9, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 9, k = 5): 1 possible binary strings.
(n = 4, r = 3, j = 10, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 10, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 10, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 10, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 10, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 11, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 11, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 11, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 11, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 11, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 12, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 12, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 12, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 12, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 12, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 13, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 13, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 13, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 13, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 13, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 14, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 14, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 14, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 14, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 14, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 15, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 15, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 15, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 15, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 15, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 16, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 16, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 16, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 16, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 16, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 17, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 17, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 17, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 17, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 17, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 18, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 18, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 18, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 18, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 18, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 19, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 19, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 19, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 19, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 19, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 20, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 20, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 20, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 20, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 20, k = 5): 0 possible binary strings.
(n = 4, r = 3, j = 21, k = 1): 0 possible binary strings.
(n = 4, r = 3, j = 21, k = 2): 0 possible binary strings.
(n = 4, r = 3, j = 21, k = 3): 0 possible binary strings.
(n = 4, r = 3, j = 21, k = 4): 0 possible binary strings.
(n = 4, r = 3, j = 21, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 1, k = 1): 13 possible binary strings.
(n = 4, r = 4, j = 1, k = 2): 13 possible binary strings.
(n = 4, r = 4, j = 1, k = 3): 13 possible binary strings.
(n = 4, r = 4, j = 1, k = 4): 13 possible binary strings.
(n = 4, r = 4, j = 1, k = 5): 13 possible binary strings.
(n = 4, r = 4, j = 2, k = 1): 78 possible binary strings.
(n = 4, r = 4, j = 2, k = 2): 78 possible binary strings.
(n = 4, r = 4, j = 2, k = 3): 78 possible binary strings.
(n = 4, r = 4, j = 2, k = 4): 78 possible binary strings.
(n = 4, r = 4, j = 2, k = 5): 78 possible binary strings.
(n = 4, r = 4, j = 3, k = 1): 286 possible binary strings.
(n = 4, r = 4, j = 3, k = 2): 286 possible binary strings.
(n = 4, r = 4, j = 3, k = 3): 286 possible binary strings.
(n = 4, r = 4, j = 3, k = 4): 286 possible binary strings.
(n = 4, r = 4, j = 3, k = 5): 286 possible binary strings.
(n = 4, r = 4, j = 4, k = 1): 711 possible binary strings.
(n = 4, r = 4, j = 4, k = 2): 715 possible binary strings.
(n = 4, r = 4, j = 4, k = 3): 715 possible binary strings.
(n = 4, r = 4, j = 4, k = 4): 715 possible binary strings.
(n = 4, r = 4, j = 4, k = 5): 715 possible binary strings.
(n = 4, r = 4, j = 5, k = 1): 1251 possible binary strings.
(n = 4, r = 4, j = 5, k = 2): 1287 possible binary strings.
(n = 4, r = 4, j = 5, k = 3): 1287 possible binary strings.
(n = 4, r = 4, j = 5, k = 4): 1287 possible binary strings.
(n = 4, r = 4, j = 5, k = 5): 1287 possible binary strings.
(n = 4, r = 4, j = 6, k = 1): 1572 possible binary strings.
(n = 4, r = 4, j = 6, k = 2): 1716 possible binary strings.
(n = 4, r = 4, j = 6, k = 3): 1716 possible binary strings.
(n = 4, r = 4, j = 6, k = 4): 1716 possible binary strings.
(n = 4, r = 4, j = 6, k = 5): 1716 possible binary strings.
(n = 4, r = 4, j = 7, k = 1): 1383 possible binary strings.
(n = 4, r = 4, j = 7, k = 2): 1713 possible binary strings.
(n = 4, r = 4, j = 7, k = 3): 1716 possible binary strings.
(n = 4, r = 4, j = 7, k = 4): 1716 possible binary strings.
(n = 4, r = 4, j = 7, k = 5): 1716 possible binary strings.
(n = 4, r = 4, j = 8, k = 1): 804 possible binary strings.
(n = 4, r = 4, j = 8, k = 2): 1269 possible binary strings.
(n = 4, r = 4, j = 8, k = 3): 1287 possible binary strings.
(n = 4, r = 4, j = 8, k = 4): 1287 possible binary strings.
(n = 4, r = 4, j = 8, k = 5): 1287 possible binary strings.
(n = 4, r = 4, j = 9, k = 1): 271 possible binary strings.
(n = 4, r = 4, j = 9, k = 2): 670 possible binary strings.
(n = 4, r = 4, j = 9, k = 3): 715 possible binary strings.
(n = 4, r = 4, j = 9, k = 4): 715 possible binary strings.
(n = 4, r = 4, j = 9, k = 5): 715 possible binary strings.
(n = 4, r = 4, j = 10, k = 1): 38 possible binary strings.
(n = 4, r = 4, j = 10, k = 2): 228 possible binary strings.
(n = 4, r = 4, j = 10, k = 3): 284 possible binary strings.
(n = 4, r = 4, j = 10, k = 4): 286 possible binary strings.
(n = 4, r = 4, j = 10, k = 5): 286 possible binary strings.
(n = 4, r = 4, j = 11, k = 1): 1 possible binary strings.
(n = 4, r = 4, j = 11, k = 2): 39 possible binary strings.
(n = 4, r = 4, j = 11, k = 3): 72 possible binary strings.
(n = 4, r = 4, j = 11, k = 4): 78 possible binary strings.
(n = 4, r = 4, j = 11, k = 5): 78 possible binary strings.
(n = 4, r = 4, j = 12, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 12, k = 2): 1 possible binary strings.
(n = 4, r = 4, j = 12, k = 3): 7 possible binary strings.
(n = 4, r = 4, j = 12, k = 4): 13 possible binary strings.
(n = 4, r = 4, j = 12, k = 5): 13 possible binary strings.
(n = 4, r = 4, j = 13, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 13, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 13, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 13, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 13, k = 5): 1 possible binary strings.
(n = 4, r = 4, j = 14, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 14, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 14, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 14, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 14, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 15, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 15, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 15, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 15, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 15, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 16, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 16, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 16, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 16, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 16, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 17, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 17, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 17, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 17, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 17, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 18, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 18, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 18, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 18, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 18, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 19, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 19, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 19, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 19, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 19, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 20, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 20, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 20, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 20, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 20, k = 5): 0 possible binary strings.
(n = 4, r = 4, j = 21, k = 1): 0 possible binary strings.
(n = 4, r = 4, j = 21, k = 2): 0 possible binary strings.
(n = 4, r = 4, j = 21, k = 3): 0 possible binary strings.
(n = 4, r = 4, j = 21, k = 4): 0 possible binary strings.
(n = 4, r = 4, j = 21, k = 5): 0 possible binary strings.
(n = 4, r = 5, j = 1, k = 1): 17 possible binary strings.
(n = 4, r = 5, j = 1, k = 2): 17 possible binary strings.
(n = 4, r = 5, j = 1, k = 3): 17 possible binary strings.
(n = 4, r = 5, j = 1, k = 4): 17 possible binary strings.
(n = 4, r = 5, j = 1, k = 5): 17 possible binary strings.
(n = 4, r = 5, j = 2, k = 1): 136 possible binary strings.
(n = 4, r = 5, j = 2, k = 2): 136 possible binary strings.
(n = 4, r = 5, j = 2, k = 3): 136 possible binary strings.
(n = 4, r = 5, j = 2, k = 4): 136 possible binary strings.
(n = 4, r = 5, j = 2, k = 5): 136 possible binary strings.
(n = 4, r = 5, j = 3, k = 1): 680 possible binary strings.
(n = 4, r = 5, j = 3, k = 2): 680 possible binary strings.
(n = 4, r = 5, j = 3, k = 3): 680 possible binary strings.
(n = 4, r = 5, j = 3, k = 4): 680 possible binary strings.
(n = 4, r = 5, j = 3, k = 5): 680 possible binary strings.
(n = 4, r = 5, j = 4, k = 1): 2380 possible binary strings.
(n = 4, r = 5, j = 4, k = 2): 2380 possible binary strings.
(n = 4, r = 5, j = 4, k = 3): 2380 possible binary strings.
(n = 4, r = 5, j = 4, k = 4): 2380 possible binary strings.
(n = 4, r = 5, j = 4, k = 5): 2380 possible binary strings.
(n = 4, r = 5, j = 5, k = 1): 6184 possible binary strings.
(n = 4, r = 5, j = 5, k = 2): 6188 possible binary strings.
(n = 4, r = 5, j = 5, k = 3): 6188 possible binary strings.
(n = 4, r = 5, j = 5, k = 4): 6188 possible binary strings.
(n = 4, r = 5, j = 5, k = 5): 6188 possible binary strings.
(n = 4, r = 5, j = 6, k = 1): 12328 possible binary strings.
(n = 4, r = 5, j = 6, k = 2): 12376 possible binary strings.
(n = 4, r = 5, j = 6, k = 3): 12376 possible binary strings.
(n = 4, r = 5, j = 6, k = 4): 12376 possible binary strings.
(n = 4, r = 5, j = 6, k = 5): 12376 possible binary strings.
(n = 4, r = 5, j = 7, k = 1): 19184 possible binary strings.
(n = 4, r = 5, j = 7, k = 2): 19448 possible binary strings.
(n = 4, r = 5, j = 7, k = 3): 19448 possible binary strings.
(n = 4, r = 5, j = 7, k = 4): 19448 possible binary strings.
(n = 4, r = 5, j = 7, k = 5): 19448 possible binary strings.
(n = 4, r = 5, j = 8, k = 1): 23430 possible binary strings.
(n = 4, r = 5, j = 8, k = 2): 24310 possible binary strings.
(n = 4, r = 5, j = 8, k = 3): 24310 possible binary strings.
(n = 4, r = 5, j = 8, k = 4): 24310 possible binary strings.
(n = 4, r = 5, j = 8, k = 5): 24310 possible binary strings.
(n = 4, r = 5, j = 9, k = 1): 22333 possible binary strings.
(n = 4, r = 5, j = 9, k = 2): 24307 possible binary strings.
(n = 4, r = 5, j = 9, k = 3): 24310 possible binary strings.
(n = 4, r = 5, j = 9, k = 4): 24310 possible binary strings.
(n = 4, r = 5, j = 9, k = 5): 24310 possible binary strings.
(n = 4, r = 5, j = 10, k = 1): 16307 possible binary strings.
(n = 4, r = 5, j = 10, k = 2): 19424 possible binary strings.
(n = 4, r = 5, j = 10, k = 3): 19448 possible binary strings.
(n = 4, r = 5, j = 10, k = 4): 19448 possible binary strings.
(n = 4, r = 5, j = 10, k = 5): 19448 possible binary strings.
(n = 4, r = 5, j = 11, k = 1): 8785 possible binary strings.
(n = 4, r = 5, j = 11, k = 2): 12292 possible binary strings.
(n = 4, r = 5, j = 11, k = 3): 12376 possible binary strings.
(n = 4, r = 5, j = 11, k = 4): 12376 possible binary strings.
(n = 4, r = 5, j = 11, k = 5): 12376 possible binary strings.
(n = 4, r = 5, j = 12, k = 1): 3251 possible binary strings.
(n = 4, r = 5, j = 12, k = 2): 6020 possible binary strings.
(n = 4, r = 5, j = 12, k = 3): 6188 possible binary strings.
(n = 4, r = 5, j = 12, k = 4): 6188 possible binary strings.
(n = 4, r = 5, j = 12, k = 5): 6188 possible binary strings.
(n = 4, r = 5, j = 13, k = 1): 713 possible binary strings.
(n = 4, r = 5, j = 13, k = 2): 2172 possible binary strings.
(n = 4, r = 5, j = 13, k = 3): 2378 possible binary strings.
(n = 4, r = 5, j = 13, k = 4): 2380 possible binary strings.
(n = 4, r = 5, j = 13, k = 5): 2380 possible binary strings.
(n = 4, r = 5, j = 14, k = 1): 63 possible binary strings.
(n = 4, r = 5, j = 14, k = 2): 520 possible binary strings.
(n = 4, r = 5, j = 14, k = 3): 672 possible binary strings.
(n = 4, r = 5, j = 14, k = 4): 680 possible binary strings.
(n = 4, r = 5, j = 14, k = 5): 680 possible binary strings.
(n = 4, r = 5, j = 15, k = 1): 1 possible binary strings.
(n = 4, r = 5, j = 15, k = 2): 64 possible binary strings.
(n = 4, r = 5, j = 15, k = 3): 124 possible binary strings.
(n = 4, r = 5, j = 15, k = 4): 136 possible binary strings.
(n = 4, r = 5, j = 15, k = 5): 136 possible binary strings.
(n = 4, r = 5, j = 16, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 16, k = 2): 1 possible binary strings.
(n = 4, r = 5, j = 16, k = 3): 9 possible binary strings.
(n = 4, r = 5, j = 16, k = 4): 17 possible binary strings.
(n = 4, r = 5, j = 16, k = 5): 17 possible binary strings.
(n = 4, r = 5, j = 17, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 17, k = 2): 0 possible binary strings.
(n = 4, r = 5, j = 17, k = 3): 0 possible binary strings.
(n = 4, r = 5, j = 17, k = 4): 0 possible binary strings.
(n = 4, r = 5, j = 17, k = 5): 1 possible binary strings.
(n = 4, r = 5, j = 18, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 18, k = 2): 0 possible binary strings.
(n = 4, r = 5, j = 18, k = 3): 0 possible binary strings.
(n = 4, r = 5, j = 18, k = 4): 0 possible binary strings.
(n = 4, r = 5, j = 18, k = 5): 0 possible binary strings.
(n = 4, r = 5, j = 19, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 19, k = 2): 0 possible binary strings.
(n = 4, r = 5, j = 19, k = 3): 0 possible binary strings.
(n = 4, r = 5, j = 19, k = 4): 0 possible binary strings.
(n = 4, r = 5, j = 19, k = 5): 0 possible binary strings.
(n = 4, r = 5, j = 20, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 20, k = 2): 0 possible binary strings.
(n = 4, r = 5, j = 20, k = 3): 0 possible binary strings.
(n = 4, r = 5, j = 20, k = 4): 0 possible binary strings.
(n = 4, r = 5, j = 20, k = 5): 0 possible binary strings.
(n = 4, r = 5, j = 21, k = 1): 0 possible binary strings.
(n = 4, r = 5, j = 21, k = 2): 0 possible binary strings.
(n = 4, r = 5, j = 21, k = 3): 0 possible binary strings.
(n = 4, r = 5, j = 21, k = 4): 0 possible binary strings.
(n = 4, r = 5, j = 21, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 1, k = 1): 6 possible binary strings.
(n = 5, r = 2, j = 1, k = 2): 6 possible binary strings.
(n = 5, r = 2, j = 1, k = 3): 6 possible binary strings.
(n = 5, r = 2, j = 1, k = 4): 6 possible binary strings.
(n = 5, r = 2, j = 1, k = 5): 6 possible binary strings.
(n = 5, r = 2, j = 2, k = 1): 10 possible binary strings.
(n = 5, r = 2, j = 2, k = 2): 15 possible binary strings.
(n = 5, r = 2, j = 2, k = 3): 15 possible binary strings.
(n = 5, r = 2, j = 2, k = 4): 15 possible binary strings.
(n = 5, r = 2, j = 2, k = 5): 15 possible binary strings.
(n = 5, r = 2, j = 3, k = 1): 4 possible binary strings.
(n = 5, r = 2, j = 3, k = 2): 16 possible binary strings.
(n = 5, r = 2, j = 3, k = 3): 20 possible binary strings.
(n = 5, r = 2, j = 3, k = 4): 20 possible binary strings.
(n = 5, r = 2, j = 3, k = 5): 20 possible binary strings.
(n = 5, r = 2, j = 4, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 4, k = 2): 6 possible binary strings.
(n = 5, r = 2, j = 4, k = 3): 12 possible binary strings.
(n = 5, r = 2, j = 4, k = 4): 15 possible binary strings.
(n = 5, r = 2, j = 4, k = 5): 15 possible binary strings.
(n = 5, r = 2, j = 5, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 5, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 5, k = 3): 2 possible binary strings.
(n = 5, r = 2, j = 5, k = 4): 4 possible binary strings.
(n = 5, r = 2, j = 5, k = 5): 6 possible binary strings.
(n = 5, r = 2, j = 6, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 6, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 6, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 6, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 6, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 7, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 7, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 7, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 7, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 7, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 8, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 8, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 8, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 8, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 8, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 9, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 9, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 9, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 9, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 9, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 10, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 10, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 10, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 10, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 10, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 11, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 11, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 11, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 11, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 11, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 12, k = 1): 0 possible binary strings.
(n = 5, r = 2, j = 12, k = 2): 0 possible binary strings.
(n = 5, r = 2, j = 12, k = 3): 0 possible binary strings.
(n = 5, r = 2, j = 12, k = 4): 0 possible binary strings.
(n = 5, r = 2, j = 12, k = 5): 0 possible binary strings.
(n = 5, r = 2, j = 13, k = 1): 0 possible binary strings.
